CGS	;CGS
NHS	;Imperial College Healthcare NHS Trust;NHS;NHS Cancer Screening Programmes UK;NHS National Innovation Centre
National Nature Science oundation Fund of China	;National Nature Science oundation Fund of China
EC	;EC
National High Technology Research and Development Program of China  863 program	;National High Technology Research and Development Program of China  863 program
UPMC	;University of Pittsburgh Medical Center  UPMC
RTI	;RTI International DEcIDE  Developing Evidence to Inform Decisions about Effectiveness  Center
St  Petersburg State Polytechnic University	;St  Petersburg State Polytechnic University
Junta Castilla y Leon funds	;Junta Castilla y Leon funds
CSIR-India	;CSIR-India
Research on technology functions in a process of Art work creation and production  Cultural Ministry of Czech Republic	;Research on technology functions in a process of Art work creation and production  Cultural Ministry of Czech Republic
VENUS	;European Community under VENUS of the  Information Socity Technology  IST  programm of the 6th FP of RTD
SDWA	;Singapore-Delft Water Alliance  SDWA
Tehran University	;Tehran University
Beijing Postdoctoral Research Foundation - China	;Beijing Postdoctoral Research Foundation - China
Konkuk University	;Konkuk University
EU	;EU
Key Laboratory of Agricultural Information of Jiangxi Agricultural University	;Key Laboratory of Agricultural Information of Jiangxi Agricultural University
Ministry of Education Science and Technological Development of the Republic of Serbia	;Ministry of Education Science and Technological Development of the Republic of Serbia
Conselho Nacional de Desenvolvimento Cientifico e Tecnologico - CNPq	;Conselho Nacional de Desenvolvimento Cientifico e Tecnologico - CNPq
Regional Materials Science and Technology Centre-Structural Funds and from the state budget of the Czech Republic	;Regional Materials Science and Technology Centre-Structural Funds and from the state budget of the Czech Republic
NASA/Caltech	;NASA/Caltech
Agency for Healthcare Research and Quality	;Agency for Healthcare Research and Quality
Consolider Ingenio	;Consolider Ingenio
Shanghai Municipal Education Commission	;Shanghai Municipal Education Commission
Department of Science and Technology  Spain  under the National Programme for Research Development and Innovation	;Department of Science and Technology  Spain  under the National Programme for Research Development and Innovation
Fundacaopara a Ciencia e a Tecnologia	;Fundacaopara a Ciencia e a Tecnologia
Brazilian National Research Centers CNPq	;Brazilian National Research Centers CNPq
Program  Research Foundation of Tomsk State University	;Program  Research Foundation of Tomsk State University
Marquette University Milwaukee WI	;Marquette University Milwaukee WI
Technical University of Ostrava Czech Republic	;Technical University of Ostrava Czech Republic
CISE	;National Science Foundation under CISE Research Infrastructure
CONICYT	;CONICYT
BAP	;BAP Office  Scientific Research Projects Coordination Unit  of Selcuk University;BAP programme of Istanbul Technical University;Scientific Research Projects  BAP  of Selcuk University  in Turkey
Department of Automatic Control and Robotics Faculty of Mechanical Engineering Bialystok University of Technology	;Department of Automatic Control and Robotics Faculty of Mechanical Engineering Bialystok University of Technology
Petroleo Brasileiro S A	;Petroleo Brasileiro S A
Telefonica I + D	;Telefonica I + D
Research Office of The Hong Kong Polytechnic University Hong Kong	;Research Office of The Hong Kong Polytechnic University Hong Kong
University of Calabria	;University of Calabria
FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface	;FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface
CNPq	;CNPq
UGC	;Hong Kong UGC;University Grants Commission  UGC  under Faculty Development Programme;University Grants Commission  UGC  Government of India;University Grants Commission  UGC India
FRGS	;FRGS Grant;Fundamental Research Grant Scheme  FRGS;Fundamental Research Grant Scheme  FRGS  by the Ministry of Education Malaysia;Ministry of Education Malaysia under Fundamental Research Grant Scheme  FRGS;Ministry of Higher Education Malaysia under the Fundamental Research Grant Scheme  FRGS;Research Grant Scheme FRGS of Ministry of Higher Education Malaysia
TRGS	;Ministry of Higher Education  MoHE  Trans-Disciplinary Research Grant Scheme  TRGS
PANGEN	;PANGEN
Oak Ridge Institute for Science and Education	;Oak Ridge Institute for Science and Education
National Science Council Taiwan	;National Science Council Taiwan
CNCS-UEFISCDI	;CNCS-UEFISCDI;Romanian National Authority for Scientific Research CNCS-UEFISCDI
Nakhon Ratchasima Thailand	;Nakhon Ratchasima Thailand
Damsmanlik San  ve Tic  Ltd	;Damsmanlik San  ve Tic  Ltd
eToy Laboratory of the Department of Computing	;eToy Laboratory of the Department of Computing
Department of Biotechnology India	;Department of Biotechnology India
Scientific Research Projects Department of Erciyes University	;Scientific Research Projects Department of Erciyes University
AAAI	;National Science Foundation of AAAI
Reykjavik University Iceland	;Reykjavik University Iceland
CSIR	;Council of Scientific and Industrial Research  CSIR;Council of Scientific and Industrial Research  CSIR  Government of India;Council of Scientific and Industrial Research  CSIR  Government of India New Delhi under Network project  TAPCOAL;Council Scientific and Industrial Research India in the form of CSIR Research Associate fellowship;CSIR;CSIR  Council of Scientific and Industrial Research  New Delhi;CSIR Government of India New Delhi;CSIR New Delhi
Canadian Institutes of Health Research Institute of Aging Pilot Project Grant Program	;Canadian Institutes of Health Research Institute of Aging Pilot Project Grant Program
MEC	;MEC;MEC I+D;MEC THOMAS;Spanish MEC;Spanish MEC MEDICI;Spanish Ministerio de Educacion y Ciencia  MEC;Spanish Ministry  MEC;Spanish Ministry of Education and Science  MEC
Innovative Undergraduate Teaching at the University of Southern California	;Innovative Undergraduate Teaching at the University of Southern California
EU-FEDER	;EU-FEDER funds
University of Technology of Belfort-Montbeliard	;University of Technology of Belfort-Montbeliard
Aeronautical Science Foundation of China	;Aeronautical Science Foundation of China
RCUK	;RCUK
Canadian Institutes of Health Research Strategic Training Initiative in Health Research Fellowship in Health Care Technology and Place	;Canadian Institutes of Health Research Strategic Training Initiative in Health Research Fellowship in Health Care Technology and Place
National Science Council of Taiwan	;National Science Council of Taiwan
111 Project	;111 Project
Quanser Consulting Inc	;Quanser Consulting Inc
Metron Aviation	;Metron Aviation
NIA	;NIA NIH HHS
2'nd place in the Romanian final round of the Software Design section	;2'nd place in the Romanian final round of the Software Design section
British Council United Kingdom	;British Council United Kingdom
National Polytechnic Institute Mexico	;National Polytechnic Institute Mexico
National Research University	;National Research University
Raising Program of Major Project of Sun Yat-sen University	;Raising Program of Major Project of Sun Yat-sen University
Computer Science National Program of the Spanish Ministry of Economy and Competitiveness	;Computer Science National Program of the Spanish Ministry of Economy and Competitiveness
Knowledge Park Bangalore	;Knowledge Park Bangalore
SME	;EC under IP SME programme
PHS/NIH	;Public Health Service/National Institute of Health  PHS/NIH
TISE	;Tampere Doctoral Programme in Information Science and Engineering  TISE
National Basic Research Program  973 Program  of China	;National Basic Research Program  973 Program  of China
SRI	;Australian Research Council through its Special Research Initiative  SRI  in Bionic Vision Science and Technology;SRI International
Sao Paulo Research Foundation-FAPESP	;Sao Paulo Research Foundation-FAPESP
Fundacion Iberdrola	;Fundacion Iberdrola
NSTIP	;NSTIP strategic program in the Kingdom of Saudi Arabia;NSTIP strategic technologies program in the Kingdom of Saudi Arabia
US National Institutes of Health	;US National Institutes of Health
ITESM	;ITESM Strategic Project;ITESM under the Research Chair CAT-144
Petroleum National Agency Brazil	;Petroleum National Agency Brazil
Ministry of Science and Technology of Taiwan R O C	;Ministry of Science and Technology of Taiwan R O C
Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project	;Nanjing University of Posts and Communications for Laboratory Construction and Equipment Management Research Project
Spanish National Innovation and Science Council	;Spanish National Innovation and Science Council
CNPq  Brazilian Agency	;CNPq  Brazilian Agency
RUGS	;RUGS
Beijing Municipal Education Commission Science Technology Fund	;Beijing Municipal Education Commission Science Technology Fund
Valencian Institute	;Valencian Institute
Romanian Government	;Romanian Government
Anglian Water	;Anglian Water
Science and Technology Development Project of Heilongjiang Provincial Education Bureau	;Science and Technology Development Project of Heilongjiang Provincial Education Bureau
Chongqing University of science and technology	;Chongqing University of science and technology
University of Malaya provision of high impact research	;University of Malaya provision of high impact research
University of Connecticut Research Foundation	;University of Connecticut Research Foundation
National Science Council Taiwan R O C	;National Science Council Taiwan R O C
Innovation Program of Shanghai Municipal Education Commission	;Innovation Program of Shanghai Municipal Education Commission
cloud group at the School of Computer Science of the University of St Andrews	;cloud group at the School of Computer Science of the University of St Andrews
CCL	;Swedish Research Council through the Swedish Linnaeus project Cognition Communication and Learning  CCL
Benchmark Stanford Graduate Fellowship	;Benchmark Stanford Graduate Fellowship
Thomas F  and Kate Miller Jeffress Memorial Trust	;Thomas F  and Kate Miller Jeffress Memorial Trust
Zukunftskolleg of the University of Konstanz	;Zukunftskolleg of the University of Konstanz
University of Yazd  Iran	;University of Yazd  Iran
Bernstein group for computational neuroscience	;Bernstein group for computational neuroscience
Greek National Funds through the Operational Program  Education	;Greek National Funds through the Operational Program  Education
CMMI	;National Science Foundation through award CMMI
RIF	;University of Teesside under the RIF initiative
POSC	;POSC
Grant Agency of Ministry of Education and Academy Science of Slovak Republic	;Grant Agency of Ministry of Education and Academy Science of Slovak Republic
SRF	;SRF for ROCS MOE
Polish National Centre of Science	;Polish National Centre of Science
Scientific Research Projects of Selcuk University	;Scientific Research Projects of Selcuk University
