111 Project	111 Project;
Spanish Ministry of Science Education	Spanish Ministry of Science Education;
Spanish National Innovation and Science Council	Spanish National project;Spanish National Innovation and Science Council;
Spanish Project	Spanish projects;Spanish project EdeTRI;Spanish Project;
Spanish Science and Innovation Ministry	Space and Naval Warfare Systems Command  SPAWAR;Spanish Science and Innovation Ministry;
Special Funds of Guangxi Distinguished Experts Construction Engineering	Special Funds of Guangxi Distinguished Experts Construction Engineering;
Special research program of Shaanxi Provincial Department of Education	Special research program of Shaanxi Provincial Department of Education;
Specialized Research Fund for the Doctoral Program of Higher Education of China	Specialized Research Fund for the Doctoral Program of Higher Education of China;
spinoff company from University of Calabria	spinoff company from University of Calabria;
Spintel Ltd	Spintel Ltd;
Square Enix	SRC;Square Enix;
SRF for ROCS MOE	SRF for ROCS MOE;
Australian Research Council through its Special Research Initiative  SRI  in Bionic Vision Science and Technology	SRI International;Australian Research Council through its Special Research Initiative  SRI  in Bionic Vision Science and Technology;
Tsinghua SRT Project	Tsinghua SRT Project;
Science Research Training Program  SRTP  Foundation of Beihang University	Science Research Training Program  SRTP  Foundation of Beihang University;
SSC Pacific grant	SSC Pacific grant;
Canada's Social Sciences and Humanities Research Council  SSHRC  through a Joseph Armand Bombardier Canada Graduate Scholarship	Canada's Social Sciences and Humanities Research Council  SSHRC  through a Joseph Armand Bombardier Canada Graduate Scholarship;
SSN College of Engineering	SSN College of Engineering;
SSTFFP	SSTFFP;
St  Petersburg State Polytechnic University	St  Petersburg State Polytechnic University;
Stanford IT Services	Stanford IT Services;
Stanford Research Institute	Stanford University;Stanford Research Institute;
state and federal funds	state budget of the Czech Republic;State and Federal Funds allocated to Georgia Agricultural Experiment Stations Hatch;state and federal funds;
State Committee for Scientific Research	State Committee for Scientific Research Poland;State Committee for Scientific Research;
State High-Tech Development Plan	State High-Tech Development Plan;
State Key Laboratory of Robotics and System	State Key Laboratory of Robotics and System;
State Ministry of science and technological development  Serbia	State Ministry of science and technological development  Serbia;
State of Hungary	State of Hungary;
state of Rhode Island Division of Planning Office of Housing and Community Development	state of Rhode Island Division of Planning Office of Housing and Community Development;
State of Texas Emergency Technology Fund	State of Texas Emergency Technology Fund;
Stellenbosch University/University of Pretoria Solar Hub	Stellenbosch University/University of Pretoria Solar Hub;
Stiftelsens for Abo Akade-Forskningsinstitut	Stiftelsens for Abo Akade-Forskningsinstitut;
STILMAN Advanced Strategies LLC under internal RD	STILMAN Advanced Strategies LLC under internal RD;
Swedish Foundation for International Cooperation in Research and Higher Education  STINT	Structural Funds of the European Union;strategic research from the City University of Hong Kong;Strategic Priority Research Program of the Chinese Academy of Sciences;Swedish Foundation for International Cooperation in Research and Higher Education  STINT;
Studienstiftung des Deutschen Volkes	Studienstiftung des Deutschen Volkes;
Dutch Technology Foundation STW	STW;Dutch Technology Foundation STW;
Sun Microsystems	Sun Microsystems;
Iran Renewable Energy Organization  SUNA	Iran Renewable Energy Organization  SUNA;
Sunesis	Sunesis;
Office of the Vice President for Research at the University at Buffalo SUNY	Office of the Vice President for Research at the University at Buffalo SUNY;Department of Radiology at SUNY Upstate Medical University;
Suranaree University of Technology	Suranaree University of Technology;
Ministry of Science and Higher Education of Poland of the Faculty of Mechanical Engineering SUT	Ministry of Science and Higher Education of Poland of the Faculty of Mechanical Engineering SUT;
Swedish Foundation for Strategic Research	Swedish Foundation for Strategic Research;
Swedish Natural Science Research Council	Swedish Natural Science Research Council;
Swedish Research Council VR	Swedish Research Council VR;
Swiss National Foundation	Swiss National Science Foundation;Swiss National Foundation for Research;Swiss National Foundation;
Swiss Paraplegic Foundation	Swiss Paraplegic Foundation;
Systemically integrated environment for designing intelligent models and modeling modern electronic business	Systemically integrated environment for designing intelligent models and modeling modern electronic business;
Systems Centre	Systems Centre;
School of Information Science and Technology of Sun Yat-sen University  SYSU	Taipei City Government;School of Information Science and Technology of Sun Yat-sen University  SYSU;
Taiwan Ministry of Science and Technology	Taiwan Ministry of Science and Technology;
Taiwan Power Company	Taiwan Power Company;
Toledo Area Regional Transit Authority  TARTA	Toledo Area Regional Transit Authority  TARTA;
Internal Grant Agency at TBU in Zlin	Internal Grant Agency at TBU in Zlin;
Teaching Innovation Service of the University of Huelva	Teaching Innovation Service of the University of Huelva;
International Campus of Excellence Andalucia TECH	International Campus of Excellence Andalucia TECH;
Technical University of Ostrava Czech Republic	Technical University of Ostrava Czech Republic;
Technical University of Sofia	Technical University of Sofia;
Technische Universitat Dortmund	Technische Universitat Dortmund;
Technology Agency of the Czech Republic	Technology Strategy Board;technology research and development program of China;Technology Agency of the Czech Republic;
Technology Support Plan of China	Tecnologico de Monterrey;Technology Support Plan of China;
Tecnologico de Monterrey Campus Ciudad de Mexico	Tecnologico de Monterrey Campus Ciudad de Mexico;
Tecnologico de Monterrey Campus Estado de Mexico	Tecnologico de Monterrey Campus Estado de Mexico;
TECTERRA Commercialization and Research Centre	TECTERRA Commercialization and Research Centre;
Tehran University	Tehran University of Medical Sciences;Tehran University;
Finnish Funding Agency for Technology and Innovation  TEKES	Technology Development Centre  TEKES Finland;Finnish Funding Agency for Technology and Innovation  TEKES;
Teknoloji Gelistirme	Teknoloji Gelistirme;
Tektronix Inc	Tektronix Inc;
Telefonica I + D	Telefonica I + D;
Telemedicine & Advanced Technology Research Center US Army Medical Research and Materiel Command US Department of Defense	Telemedicine & Advanced Technology Research Center US Army Medical Research and Materiel Command US Department of Defense;
Tenaga Nasional Berhad	Tenaga Nasional Berhad;
TERAPERS CEEX	TERAPERS CEEX;
TERNIUM-Hylsa	TERNIUM-Hylsa;
Thailand Research Fund	Greek national funds through the Operational Program  Education and Lifelong Learning  under the program THALES;Thailand Research Fund;
The Catholic University of Korea	The Catholic University of Korea;
the Fundamental Research Funds for the Central Universities	the Fundamental Research Funds for the Central Universities;
The Hewlett Packard Corporation and Springer-Verlag	The National High Technology Research and Development Program of China;The Ministry of Higher Education;The Hong Kong Polytechnic University;The Hewlett Packard Corporation and Springer-Verlag;
The State University of New Jersey	The State University of New Jersey;
The University of Auckland Doctoral Scholarship and StretchSense Ltd	The University of Auckland Doctoral Scholarship and StretchSense Ltd;
The University of Isfahan	The University of Isfahan;
Thermo Fisher Scientific Corporation	Thermo Fisher Scientific Corporation;
THESEUS Program in the RadSpeech project - German Federal Ministry of Economics and Technology	THESEUS Program in the RadSpeech project - German Federal Ministry of Economics and Technology;
third accented term of  211 engineering  subject constructing	third accented term of  211 engineering  subject constructing;
Thomas F  and Kate Miller Jeffress Memorial Trust	Thomas F  and Kate Miller Jeffress Memorial Trust;
thousand talents program for the pioneer researcher and the innovation team in China	thousand talents program for the pioneer researcher and the innovation team in China;
Thousand Talents program of China for pioneering researchers and innovative teams	Thousand Talents program of China for pioneering researchers and innovative teams;
Thousands Talents program for pioneer researcher and his innovation team China	Thousands Talents program for pioneer researcher and his innovation team China;
Tianjin Key Laboratory of Cognitive Computing and Application	Tianjin Key Laboratory of Cognitive Computing and Application;
Tianjin Natural Science Foundation	TIARAC - Telematics and Artificial Intelligence in Alternative Conflict Resolution;Tianjin Natural Science Foundation;
tier-1 research grant of Singapore Management University	Tampere Doctoral Programme in Information Science and Engineering  TISE;tier-1 research grant of Singapore Management University;
